id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
4495913;Real Amsterdam loft, city centre;10453514;Lawrence;;Centrum-West;5237714;48958;Entire home/apt;380;2;65;13.05.19;Jan/16;1;176
4496730;City centre apartment at Vondelpark;3253643;Shaheen;;De Baarsjes - Oud-West;5235935;485955;Entire home/apt;170;2;3;01.07.18;0.06;1;0
4498117;Quiet&cozy, private house with garden Amsterdam;2209324;Letty;;Oud-Noord;5238736;492648;Entire home/apt;69;3;5;08.08.16;0.14;1;0
4501250;Comfortable, stylish and clean;23344273;Ingrid;;De Pijp - Rivierenbuurt;5235116;489526;Entire home/apt;98;10;35;02.10.17;0.62;1;7
4502661;Nice modern apartment in Amsterdam West!;10154967;Rouming;;De Baarsjes - Oud-West;5236756;485035;Entire home/apt;109;7;8;17.08.15;0.14;2;0
4513665;Amsterdam Houseboat;23403760;Richard;;Oostelijk Havengebied - Indische Buurt;5237102;494057;Private room;100;2;10;25.06.19;0.18;1;190
4516324;Lvly Sps Light Family House;1643502;Leonie;;Westerpark;5237462;486867;Entire home/apt;185;2;34;29.10.18;0.60;1;189
4516506;100m² modern apartment | XL bed | Superhost;4373419;Yunfei;;Bos en Lommer;5237654;483799;Entire home/apt;210;2;29;24.03.19;0.57;2;7
4522340;Cosy Ground Floor Apt With BACKYARD in Amsterdam;8307629;Mara;;De Baarsjes - Oud-West;5236954;485412;Entire home/apt;129;4;26;02.06.19;0.76;1;2
4523624;Bel appartement, quartier des musés;12179257;Martine;;Zuid;5235665;487744;Entire home/apt;300;4;41;19.06.19;0.79;1;349
4524356;Sunlit room in 100m² shared apartment | Superhost;4373419;Yunfei;;Bos en Lommer;5237639;48381;Private room;70;2;70;11.06.19;Jan/34;2;86
4529124;Museum quarter - quiet and cosy apt;23385018;Sheryl;;Zuid;5235593;488534;Entire home/apt;199;2;55;02.07.19;1.00;1;0
4529804;Cosy canal apartment;22532813;Jean-Paul;;Westerpark;5238061;487844;Entire home/apt;135;4;10;04.11.18;0.20;1;189
4530308;Spacious family house with garden;13572361;Inger;;Watergraafsmeer;5234616;49507;Entire home/apt;225;3;12;03.01.17;0.24;1;98
4535071;Lovely Quiet Central Apt;7781879;Mark;;Zuid;5235652;487417;Entire home/apt;120;4;0;;;1;0
4536158;Stylish Duplex Apartment Jordaan;3304389;James & Lina;;Centrum-West;5237938;488468;Entire home/apt;450;2;40;28.04.19;0.72;1;150
4538211;Big family house (140m2) with garden;23258221;Barbara;;Bos en Lommer;5237944;485653;Entire home/apt;275;4;1;26.06.17;0.04;1;0
4538386;Spacious appartment Museum Square;23532899;Steven;;Zuid;5235927;487876;Entire home/apt;125;3;26;22.04.19;0.66;1;185
4539029;Cute Room! Safe, Green and Clean;1221398;Michelia;;Buitenveldert - Zuidas;5232784;487929;Private room;49;2;84;13.05.17;Jan/53;1;0
4543149;Quiet and comfortable apt, in trendy oud west!;23556233;Femke;;De Baarsjes - Oud-West;523644;486554;Entire home/apt;125;4;50;27.06.19;0.91;1;0
4544218;Sunny apartment (90m2) in Amsterdam;19052569;Claar;;Oud-Oost;5236005;491426;Entire home/apt;120;14;3;12.08.15;0.06;1;0
4544589;Amsterdam home/15 min to center/Free parking;21949347;Karen;;Bijlmer-Centrum;5230501;495292;Entire home/apt;250;3;16;24.06.19;0.29;1;61
4549402;Private room in Amsterdam;23587375;George;;De Baarsjes - Oud-West;5236554;48526;Private room;78;1;413;30.06.19;Jul/33;2;280
4550468;Cherry Tree Bed & Breakfast;23593514;Alexander;;Zuid;5235017;484736;Private room;95;2;142;30.06.19;Feb/58;1;292
4552264;Cosy apartment in the Westerpark!!;11068648;Marlou;;Westerpark;523842;487814;Private room;70;2;84;26.06.19;Jan/50;1;40
4552518;Lovely apartment at Haarlemmerdijk - Jordaan;23602917;Arend & Diana;;Centrum-West;5238468;488563;Entire home/apt;300;2;20;22.05.19;0.36;1;13
4555659;Manon's Place;1016298;Manon;;Bos en Lommer;5237819;485087;Entire home/apt;145;2;46;10.06.19;0.82;1;100
4556840;Beautiful room with canal view;21935204;Gian Luca & Ron;;De Baarsjes - Oud-West;5237059;486873;Private room;109;2;68;30.06.19;Jan/33;1;287
4557044;Private rooms near centre & musea!;23623590;Annemiek & Eric;;De Baarsjes - Oud-West;5237189;486275;Private room;90;2;60;11.11.18;Jan/16;1;0
4564797;Trendy & cozy 2P apartment | Nearby City Centre;23515265;Remon;;De Pijp - Rivierenbuurt;5235353;490173;Entire home/apt;100;2;33;01.01.19;0.59;1;0
4565021;AMAZING park views, perfect for couples!;23646547;Laura;;Westerpark;5238488;487718;Entire home/apt;105;2;15;16.06.19;0.67;1;14
4578467;Cosy bedroom in artsy apartment!;7404442;Nina;;De Baarsjes - Oud-West;5237257;486331;Private room;72;2;4;18.10.15;0.07;1;0
4586666;Spacious apartment on the Amstel;11689647;Suzanne;;De Pijp - Rivierenbuurt;5234622;491005;Entire home/apt;175;5;11;15.10.17;0.22;1;0
4587668;Beautiful apartment on the Canals;312454;Rachelle;;Centrum-Oost;5235984;489018;Entire home/apt;170;1;48;11.06.17;0.87;1;0
4587844;Spacious apartment in school;3640101;Johanna;;Centrum-Oost;5237108;493236;Entire home/apt;350;3;20;16.08.18;0.37;1;199
4590871;Spacious  & stylish apartment - centrally located;3888519;Micha;;De Pijp - Rivierenbuurt;5235717;489295;Entire home/apt;250;2;33;28.04.19;0.64;1;0
4591186;Modern family appt with free bikes;3293310;Jasper;;Oud-Oost;5235963;491595;Entire home/apt;110;10;1;26.06.15;0.02;1;0
4591192;The Hidden House Amsterdam;23799357;Renée;;De Pijp - Rivierenbuurt;5235744;490321;Private room;130;3;351;30.06.19;Jun/23;1;101
4591766;Beautiful Loft in Amsterdam;14460642;Marcel;;De Baarsjes - Oud-West;5237302;485834;Entire home/apt;175;4;2;24.04.15;0.04;1;194
4591819;Bed at Pander, centrally located;23802419;Klaartje;;De Pijp - Rivierenbuurt;5235164;490659;Private room;89;3;137;22.06.19;Feb/49;1;307
4594303;Room in De Pijp;2315881;Sonia;;De Pijp - Rivierenbuurt;5235344;488997;Private room;80;2;8;21.08.18;0.15;2;0
4594804;Cosy apartment near The Vondelpark;2985908;Madelijn;;Zuid;523502;485382;Entire home/apt;120;1;5;06.08.16;0.09;1;0
4599323;Cosy bedroom in artsy apartment!;5600787;Loes;;De Baarsjes - Oud-West;5237111;486357;Private room;60;1;9;11.02.16;0.16;1;0
4600067;*NEW* Houseboat AquaView;23842289;Aqua;;Centrum-West;5238529;48882;Entire home/apt;195;2;220;05.07.19;4.00;1;274
4600731;Apt. near Vondelpark and Schiphol;22605509;Sander;;Zuid;5235017;484943;Entire home/apt;195;1;5;19.05.19;0.10;1;365
4605575;Amazing eco house with garden!;23865316;Bastiaan;;Slotervaart;523531;48291;Entire home/apt;180;6;3;29.08.15;0.06;2;68
4609694;Artistic & Spacious with Piano @Trendy Area;23884773;Philip;;Centrum-Oost;523722;493064;Entire home/apt;139;4;25;07.01.19;0.45;1;0
4610921;Houseboat in Amsterdam city centre;23561579;Daniel;;De Baarsjes - Oud-West;5237155;487196;Entire home/apt;350;1;111;01.07.19;02. Apr;1;351
4611100;Stylish Apartment in Amsterdam;23889714;Rik;;De Pijp - Rivierenbuurt;5234533;489407;Entire home/apt;145;2;0;;;1;0
4611207;Amsterdam Insiders Studio;23890644;Milton;;Centrum-West;5238285;48879;Entire home/apt;145;4;69;01.07.19;Jan/23;1;7
4611926;Big room in beautiful apartment in the center!;17548755;Beau;;Westerpark;5237599;48737;Private room;68;2;1;22.12.14;0.02;1;0
4613438;Bedroom in beautiful garden house;23822230;Thomas;;Oud-Noord;5239515;491439;Entire home/apt;150;1;2;02.09.15;0.04;1;0
4613860;Charming and cosy apartment;23462322;Miranda;;Oud-Oost;5235472;491853;Entire home/apt;97;6;34;30.08.17;0.66;1;98
4614017;Groep Accommodation Sailing Ship;23667032;Sandra;;Westerpark;5239219;488265;Entire home/apt;600;3;11;14.05.17;0.20;2;177
4616816;Family apartment in De Pijp ;23917371;Roman;;De Pijp - Rivierenbuurt;5235364;490481;Entire home/apt;150;3;39;01.10.17;0.73;1;0
